CellID,Occurrences,Places
302442,2,A
97958,2,A
96324,2,A
93668,2,A
441282,2,A
330696,2,A
438450,2,A
337821,2,A
294350,2,A
296764,2,A
296487,2,A
296447,2,A
274427,2,A
264784,2,A
264676,2,A
254160,2,A
150575,2,A
243673,2,A
313167,2,A
97802,2,A
257290,2,A
138364,2,A
224888,2,B
223369,2,B
222391,2,B
145033,2,B
139121,2,B
153241,2,B
122719,2,B
221789,2,B
220150,2,B
252800,2,B
220386,2,B
219580,2,B
219533,2,B
129248,2,B
220823,2,B
178988,2,B
129250,2,B
169229,2,B
129402,2,B
129982,2,B
133748,2,B
137191,2,B
139622,2,B
139859,2,B
141868,2,B
141904,2,B
121367,2,B
141927,2,B
142256,2,B
142287,2,B
145813,2,B
146186,2,B
146433,2,B
146836,2,B
209262,2,B
215052,2,B
215182,2,B
215890,2,B
216542,2,B
216735,2,B
218222,2,B
142100,2,B
213959,2,B
119316,2,B
222934,2,B
220301,2,B
189284,2,B
143333,2,B
133485,2,B
43656,2,C
44621,2,C
143699,2,C
126153,2,C
138283,2,C
37677,2,C
129454,2,C
35161,2,C
43002,2,C
22719,2,C
61952,2,C
111013,2,C
79905,2,C
120400,2,C
122258,2,C
123156,2,C
42352,2,C
130821,2,C
132855,2,C
54024,2,C
25395,2,D
540780,2,D
536558,2,D
528712,2,D
528697,2,D
528684,2,D
527920,2,D
363117,2,D
342944,2,D
304124,2,D
264836,2,D
117688,2,D
111161,2,D
99393,2,D
96633,2,D
94022,2,D
80514,2,D
955004,2,D
74762,2,D
128,2,D
544,2,D
4181,2,D
7705,2,D
21083,2,D
48579,2,D
45273,2,D
21471,2,D
50760,2,D
306217,2,D
6533,2,D
7023,2,D
8160,2,D
10412,2,D
17349,2,D
17985,2,D
6339,2,D
20996,2,D
1455,2,D
1800,2,D
2201,2,D
2472,2,D
5745,2,D
15493,2,D
48079,2,D
542673,2,D
2522,2,D
2163,2,D
106790,2,D
107258,2,D
112810,2,D
280498,2,D
352863,2,D
503571,2,D
2187,2,D
530573,2,D
542441,2,D
554654,2,D
658,2,D
1411,2,D
1965,2,D
2054,2,D
537553,2,D
544297,2,D
96845,2,D
50826,2,D
13200,2,D
11830,2,D
11659,2,D
11151,2,D
11143,2,D
10619,2,D
10043,2,D
9679,2,D
9628,2,D
8261,2,D
7479,2,D
6993,2,D
5720,2,D
5139,2,D
4430,2,D
3915,2,D
55492,2,D
13628,2,D
2616,2,D
13647,2,D
14264,2,D
53077,2,D
46746,2,D
45715,2,D
41228,2,D
40096,2,D
33467,2,D
30978,2,D
20900,2,D
20730,3,D
20671,2,D
20591,2,D
18615,2,D
18170,2,D
54766,2,D
54869,2,D
18060,2,D
15541,4,D
13651,2,D
58890,2,D
2122,2,D
1289,2,D
548763,2,D
546397,2,D
73496,2,D
546091,2,D
76195,2,D
78897,2,D
81796,2,D
81907,2,D
82383,2,D
88590,2,D
89976,2,D
90108,2,D
90885,2,D
92557,2,D
93590,2,D
545808,2,D
96805,2,D
548804,2,D
548851,2,D
552928,2,D
72602,2,D
924,2,D
706,2,D
